#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
589;134;Tanne;101;Tanne_1_134;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;134;Tanne;101;Tanne_1_134;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
590;135;Tanne;101;Tanne_2_135;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
591;135;Tanne;101;Tanne_2_135;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
592;135;Tanne;101;Tanne_2_135;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
593;135;Tanne;101;Tanne_2_135;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
594;135;Tanne;101;Tanne_2_135;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;135;Tanne;101;Tanne_2_135;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
595;136;Fichte;100;Fichte_1_136;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
596;136;Fichte;100;Fichte_1_136;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
597;136;Fichte;100;Fichte_1_136;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
598;136;Fichte;100;Fichte_1_136;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;136;Fichte;100;Fichte_1_136;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
599;137;Fichte;100;Fichte_2_137;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
600;137;Fichte;100;Fichte_2_137;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
601;137;Fichte;100;Fichte_2_137;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
602;137;Fichte;100;Fichte_2_137;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;137;Fichte;100;Fichte_2_137;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
603;138;Fichte;100;Fichte_3_138;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
604;138;Fichte;100;Fichte_3_138;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
605;138;Fichte;100;Fichte_3_138;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
606;138;Fichte;100;Fichte_3_138;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;138;Fichte;100;Fichte_3_138;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
607;139;Tanne;101;Tanne_1_139;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
608;139;Tanne;101;Tanne_1_139;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
609;139;Tanne;101;Tanne_1_139;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
610;139;Tanne;101;Tanne_1_139;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
611;139;Tanne;101;Tanne_1_139;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;139;Tanne;101;Tanne_1_139;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
612;140;Tanne;101;Tanne_2_140;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
613;140;Tanne;101;Tanne_2_140;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
614;140;Tanne;101;Tanne_2_140;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
615;140;Tanne;101;Tanne_2_140;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
616;140;Tanne;101;Tanne_2_140;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;140;Tanne;101;Tanne_2_140;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
617;141;Fichte;100;Fichte_1_141;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
618;141;Fichte;100;Fichte_1_141;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
619;141;Fichte;100;Fichte_1_141;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
620;141;Fichte;100;Fichte_1_141;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;141;Fichte;100;Fichte_1_141;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
621;142;Fichte;100;Fichte_2_142;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
622;142;Fichte;100;Fichte_2_142;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
623;142;Fichte;100;Fichte_2_142;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
624;142;Fichte;100;Fichte_2_142;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;142;Fichte;100;Fichte_2_142;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
625;143;Fichte;100;Fichte_3_143;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
626;143;Fichte;100;Fichte_3_143;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
627;143;Fichte;100;Fichte_3_143;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
628;143;Fichte;100;Fichte_3_143;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;143;Fichte;100;Fichte_3_143;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
629;144;Tanne;101;Tanne_1_144;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
630;144;Tanne;101;Tanne_1_144;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
631;144;Tanne;101;Tanne_1_144;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
632;144;Tanne;101;Tanne_1_144;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
633;144;Tanne;101;Tanne_1_144;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;144;Tanne;101;Tanne_1_144;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
634;145;Tanne;101;Tanne_2_145;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
635;145;Tanne;101;Tanne_2_145;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
636;145;Tanne;101;Tanne_2_145;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
637;145;Tanne;101;Tanne_2_145;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
638;145;Tanne;101;Tanne_2_145;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;145;Tanne;101;Tanne_2_145;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
639;146;Fichte;100;Fichte_1_146;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
640;146;Fichte;100;Fichte_1_146;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
641;146;Fichte;100;Fichte_1_146;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
642;146;Fichte;100;Fichte_1_146;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;146;Fichte;100;Fichte_1_146;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
643;147;Fichte;100;Fichte_2_147;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
644;147;Fichte;100;Fichte_2_147;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
645;147;Fichte;100;Fichte_2_147;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
646;147;Fichte;100;Fichte_2_147;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;147;Fichte;100;Fichte_2_147;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
647;148;Fichte;100;Fichte_3_148;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
648;148;Fichte;100;Fichte_3_148;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
649;148;Fichte;100;Fichte_3_148;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
650;148;Fichte;100;Fichte_3_148;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;148;Fichte;100;Fichte_3_148;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
651;149;Tanne;101;Tanne_1_149;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
652;149;Tanne;101;Tanne_1_149;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
653;149;Tanne;101;Tanne_1_149;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
654;149;Tanne;101;Tanne_1_149;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
655;149;Tanne;101;Tanne_1_149;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;149;Tanne;101;Tanne_1_149;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
656;150;Tanne;101;Tanne_2_150;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
657;150;Tanne;101;Tanne_2_150;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
658;150;Tanne;101;Tanne_2_150;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
659;150;Tanne;101;Tanne_2_150;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
660;150;Tanne;101;Tanne_2_150;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;150;Tanne;101;Tanne_2_150;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
661;151;Fichte;100;Fichte_1_151;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
662;151;Fichte;100;Fichte_1_151;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
663;151;Fichte;100;Fichte_1_151;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
664;151;Fichte;100;Fichte_1_151;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;151;Fichte;100;Fichte_1_151;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
665;152;Fichte;100;Fichte_2_152;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
666;152;Fichte;100;Fichte_2_152;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
667;152;Fichte;100;Fichte_2_152;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
668;152;Fichte;100;Fichte_2_152;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;152;Fichte;100;Fichte_2_152;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
669;153;Fichte;100;Fichte_3_153;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
670;153;Fichte;100;Fichte_3_153;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
671;153;Fichte;100;Fichte_3_153;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
672;153;Fichte;100;Fichte_3_153;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;153;Fichte;100;Fichte_3_153;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
673;154;Tanne;101;Tanne_1_154;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
674;154;Tanne;101;Tanne_1_154;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
675;154;Tanne;101;Tanne_1_154;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
676;154;Tanne;101;Tanne_1_154;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
677;154;Tanne;101;Tanne_1_154;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;154;Tanne;101;Tanne_1_154;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
678;155;Tanne;101;Tanne_2_155;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
679;155;Tanne;101;Tanne_2_155;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
680;155;Tanne;101;Tanne_2_155;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
681;155;Tanne;101;Tanne_2_155;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
682;155;Tanne;101;Tanne_2_155;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;155;Tanne;101;Tanne_2_155;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
683;156;Fichte;100;Fichte_1_156;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
684;156;Fichte;100;Fichte_1_156;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
685;156;Fichte;100;Fichte_1_156;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
686;156;Fichte;100;Fichte_1_156;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;156;Fichte;100;Fichte_1_156;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
687;157;Fichte;100;Fichte_2_157;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
688;157;Fichte;100;Fichte_2_157;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
689;157;Fichte;100;Fichte_2_157;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
690;157;Fichte;100;Fichte_2_157;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;157;Fichte;100;Fichte_2_157;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
691;158;Fichte;100;Fichte_3_158;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
692;158;Fichte;100;Fichte_3_158;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
693;158;Fichte;100;Fichte_3_158;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
694;158;Fichte;100;Fichte_3_158;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;158;Fichte;100;Fichte_3_158;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
695;159;Tanne;101;Tanne_1_159;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
696;159;Tanne;101;Tanne_1_159;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
697;159;Tanne;101;Tanne_1_159;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
698;159;Tanne;101;Tanne_1_159;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
699;159;Tanne;101;Tanne_1_159;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;159;Tanne;101;Tanne_1_159;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
700;160;Tanne;101;Tanne_2_160;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
701;160;Tanne;101;Tanne_2_160;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
702;160;Tanne;101;Tanne_2_160;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
703;160;Tanne;101;Tanne_2_160;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
704;160;Tanne;101;Tanne_2_160;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;160;Tanne;101;Tanne_2_160;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
705;161;Fichte;100;Fichte_1_161;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
706;161;Fichte;100;Fichte_1_161;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
707;161;Fichte;100;Fichte_1_161;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
708;161;Fichte;100;Fichte_1_161;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;161;Fichte;100;Fichte_1_161;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
709;162;Fichte;100;Fichte_2_162;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
710;162;Fichte;100;Fichte_2_162;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
711;162;Fichte;100;Fichte_2_162;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
712;162;Fichte;100;Fichte_2_162;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;162;Fichte;100;Fichte_2_162;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
713;163;Fichte;100;Fichte_3_163;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
714;163;Fichte;100;Fichte_3_163;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
715;163;Fichte;100;Fichte_3_163;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
716;163;Fichte;100;Fichte_3_163;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;163;Fichte;100;Fichte_3_163;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
717;164;Tanne;101;Tanne_1_164;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
718;164;Tanne;101;Tanne_1_164;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
719;164;Tanne;101;Tanne_1_164;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
720;164;Tanne;101;Tanne_1_164;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
721;164;Tanne;101;Tanne_1_164;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;164;Tanne;101;Tanne_1_164;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
722;165;Tanne;101;Tanne_2_165;2012;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
723;165;Tanne;101;Tanne_2_165;2012;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
724;165;Tanne;101;Tanne_2_165;2012;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
725;165;Tanne;101;Tanne_2_165;2012;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
726;165;Tanne;101;Tanne_2_165;2012;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;165;Tanne;101;Tanne_2_165;2012;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
727;166;Fichte;100;Fichte_1_166;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
728;166;Fichte;100;Fichte_1_166;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
729;166;Fichte;100;Fichte_1_166;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
730;166;Fichte;100;Fichte_1_166;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;166;Fichte;100;Fichte_1_166;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
731;167;Fichte;100;Fichte_2_167;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
732;167;Fichte;100;Fichte_2_167;2012;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
733;167;Fichte;100;Fichte_2_167;2012;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
734;167;Fichte;100;Fichte_2_167;2012;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;167;Fichte;100;Fichte_2_167;2012;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
735;168;Fichte;100;Fichte_3_168;2012;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
